,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,RESALE,TARGET(PRICE_IN_LACS)
73,0,0,2,0,1260.02291,1,33.0
74,0,0,2,0,1100.151745,1,29.0
75,0,1,3,0,2293.077091,1,210.0
76,0,0,2,0,1146.480331,1,88.6
77,0,1,4,0,2224.059764,1,780.0
78,0,0,2,0,759.8784195000002,1,30.0
79,0,0,4,0,2260.251857,1,140.0
80,0,0,3,0,767.0182167,1,240.0
81,0,0,4,0,2500.0,1,160.0
82,1,1,4,0,2286.236854,1,100.0
83,0,1,2,0,1150.086256,1,60.0
84,0,1,2,0,1004.932182,1,81.5
85,0,0,2,0,800.0,1,34.0
86,1,0,3,0,993.75,1,31.8
87,0,0,2,0,1298.139334,1,30.0
88,0,1,2,0,996.797438,1,24.9
89,0,0,2,0,985.0194952,1,48.0
90,0,0,3,0,1118.75,1,53.7
91,0,1,2,0,889.8305085000002,1,42.0
92,0,0,3,0,2738.22563,1,150.0
93,1,1,4,0,1725.4901960000002,0,440.0
94,1,1,3,0,2488.004265,1,140.0
95,0,0,3,0,1200.082764,1,58.0
96,0,0,2,0,1584.283904,1,100.0
97,0,0,2,0,900.0,1,18.0
98,0,1,2,0,1193.440032,1,60.4
99,0,0,2,0,1487.357462,1,30.0
100,1,1,2,0,989.9029895,1,50.0
101,0,0,2,0,1155.020213,1,140.0
102,0,0,2,0,949.893137,1,80.0
103,0,0,2,0,875.0,1,49.0
104,0,0,2,0,853.3611982000001,1,24.5
105,0,0,1,0,483.0917874,1,18.0
106,0,0,2,0,800.0,1,95.0
107,0,0,2,0,802.0415602999999,1,22.0
108,0,1,2,0,610.0660905,1,48.0
109,0,0,3,0,1680.107527,1,75.0
110,0,0,2,0,1150.136038,1,93.0
111,0,0,3,0,1550.114497,1,88.0
112,0,0,5,0,1699.834163,1,82.0
113,1,0,3,0,1600.170685,1,75.0
114,0,0,1,0,600.0566091,1,21.2
115,0,1,2,0,1429.200617,1,64.9
116,0,0,2,0,1115.1379980000004,1,80.0
117,0,0,4,0,2750.929368,1,74.0
118,0,0,3,0,1811.196487,1,99.0
119,0,0,2,0,1045.036079,1,42.0
120,0,0,3,0,3433.996566,1,340.0
121,0,0,3,0,1298.219585,1,70.0
122,1,1,2,0,1109.165207,1,38.0
123,1,1,4,0,1304.034182,0,470.0
124,0,1,2,0,1041.195111,1,46.0
125,0,0,3,0,2135.748916,1,83.7
126,0,1,3,0,1850.180505,1,82.0
127,0,0,3,0,1665.080875,1,70.0
128,0,1,2,0,398.2621289,1,11.0
129,0,0,2,0,1005.025126,1,48.0
130,0,1,4,0,4900.959771,1,240.0
131,0,1,2,0,1294.016156,1,330.0
132,0,1,3,0,1536.806516,1,100.0
133,0,0,2,0,1123.188406,1,62.0
134,0,0,2,0,800.1939864,1,16.5
135,0,1,4,0,2655.807365,1,300.0
136,0,0,3,0,1513.775356,1,100.0
137,0,0,3,0,1280.0,1,48.0
138,0,0,1,0,410.0678733,1,14.5
139,0,0,4,0,3429.355281,1,100.0
140,0,0,2,0,890.0451868999999,1,65.0
141,0,0,2,0,977.7082519,1,25.0
142,0,0,2,0,1099.855282,1,38.0
143,1,0,2,0,1050.241272,1,37.0
144,0,1,3,0,1400.241838,1,57.9
145,0,0,3,0,1740.139211,1,180.0
146,0,1,2,0,1149.131767,1,180.0
147,0,0,2,0,650.1950585,1,20.0
148,0,0,2,0,1355.01355,1,85.0
149,0,0,3,0,1800.0720030000002,1,150.0
150,0,1,2,0,907.6305221,1,33.9
151,0,0,3,0,1636.296021,1,88.0
152,0,0,2,0,900.2520706,1,25.0
153,0,0,2,0,1318.0440230000004,1,100.0
154,0,1,3,0,1949.586451,1,99.0
155,0,0,3,0,1643.36522,1,67.0
156,0,0,3,0,1233.045623,1,210.0
157,0,0,1,0,655.0802139,1,49.0
158,0,0,2,0,1180.173092,1,75.0
159,0,0,3,0,1200.087279,1,55.0
160,0,0,4,0,6974.645114,1,1700.0
161,1,1,4,0,2700.075602,1,250.0
162,0,0,2,0,850.0991782,1,30.0
163,1,1,4,0,2636.296531,1,250.0
164,0,0,2,0,900.0163639,1,55.0
165,1,0,4,0,2472.952087,1,160.0
166,0,0,2,0,904.0656205,1,50.7
167,1,1,1,0,265.0033933,1,82.0
168,1,1,3,0,1570.306924,1,110.0
169,0,0,2,0,955.4140127,1,150.0
170,0,0,2,0,1000.0,1,60.0
171,0,0,4,0,2494.747899,1,95.0
172,0,0,2,0,1150.130348,1,75.0
173,0,0,2,0,1210.136674,1,85.0
174,0,0,2,0,1365.001365,1,200.0
175,1,1,2,0,499.6366279,0,110.0
176,0,0,2,0,1050.144395,1,40.0
177,0,0,1,0,476.02046889999986,1,40.0
178,0,0,2,0,985.452839,1,21.0
179,0,0,2,0,1045.296167,1,24.0
180,1,1,2,0,1301.89498,1,90.0
181,0,0,2,0,2000.0,1,38.0
182,1,1,4,0,4465.709729,1,280.0
183,0,0,2,0,1192.0,1,59.6
184,1,0,3,0,1846.153846,0,120.0
185,1,0,1,0,448.5310608,1,120.0
186,0,0,2,0,750.0604887000002,1,31.0
187,0,0,2,0,1060.0706710000004,1,72.0
188,0,1,3,0,1415.09434,1,79.5
189,0,0,2,0,1160.062565,1,89.0
190,0,0,3,0,1690.024732,1,410.0
191,1,0,3,0,1672.762741,1,68.6
192,0,0,2,0,1315.265046,1,33.0
193,0,0,1,0,650.026001,1,50.0
194,0,0,1,0,540.1755571,1,16.0
195,0,0,3,0,1830.065359,1,98.0
196,0,0,3,0,1575.157516,1,70.0
197,0,0,3,0,1530.0,1,76.5
198,0,0,2,0,619.6377502,1,26.0
199,0,0,4,0,2200.0,1,110.0
200,0,0,3,0,1757.188498,1,77.0
201,0,1,2,0,1087.885617,1,140.0
202,0,0,2,0,1199.862873,1,70.0
203,0,0,2,0,1265.035255,1,61.0
204,0,0,2,0,676.0453302,1,17.3
205,0,0,2,0,800.0,1,42.0
206,0,0,2,0,750.0750075,1,25.0
207,0,1,2,0,1500.0,0,150.0
208,0,0,3,0,1814.285714,1,88.9
209,0,1,3,0,1195.652174,1,110.0
210,0,0,3,0,1395.032324,1,41.0
211,0,0,2,0,850.1594049,1,24.0
212,0,0,2,0,909.4339623,1,48.2
213,1,0,2,0,910.0937672,1,33.0
214,0,0,3,0,1850.070303,1,250.0
215,0,1,3,0,2069.857697,1,160.0
216,0,1,2,0,820.0082001000002,1,140.0
217,0,0,2,0,1241.8075199999996,1,36.0
218,0,1,3,0,1014.120668,0,79.0
219,0,0,4,0,2302.158273,1,160.0
220,0,0,2,0,900.0782677000002,1,69.0
221,1,0,2,0,898.5074627,0,30.1
222,0,0,3,0,2235.294118,1,190.0
223,0,0,3,0,1350.0,1,81.0
224,0,1,2,0,1100.110011,1,70.0
225,0,1,1,0,612.1199755,1,30.0
226,0,0,2,0,1100.352113,1,25.0
227,0,1,5,0,5194.805195,1,400.0
228,0,0,3,0,1475.2567689999996,1,79.0
229,0,1,4,0,2780.191138,1,160.0
230,1,0,1,0,300.0260892,0,11.5
231,0,0,2,0,1000.0,1,50.0
232,0,0,2,0,1532.720245,1,230.0
233,1,1,2,0,995.8314034,0,21.5
234,0,0,3,0,1646.706587,0,110.0
235,0,0,4,0,2350.965575,1,56.0
236,0,0,3,0,534.061239,1,45.0
237,1,1,2,0,1100.0,1,110.0
238,0,0,3,0,1968.888889,1,88.6
239,0,1,3,0,2196.354052,1,100.0
240,0,1,4,0,2400.0,1,300.0
241,0,0,2,0,1650.252861,1,62.0
242,1,1,2,0,632.0572844999998,0,45.9
243,0,0,2,0,1034.965035,1,37.0
244,0,0,2,0,965.0439631,1,90.0
245,1,1,2,0,600.5495224,0,45.9
246,0,0,2,0,984.8484848,1,130.0
247,0,0,3,0,1700.060716,1,420.0
248,0,1,1,0,546.0145603999998,0,58.5
249,0,0,2,0,1195.499297,1,17.0
250,1,1,3,0,1677.4685470000004,1,220.0
251,0,1,3,0,1699.716714,1,48.0
252,0,0,2,0,1075.027996,1,48.0
253,1,1,1,0,485.790072,0,64.1
254,0,0,2,0,929.8998569,1,52.0
255,0,0,3,0,1438.021283,1,600.0
256,0,0,5,0,5299.954894,1,470.0
257,0,1,2,0,1020.181859,1,46.0
258,0,0,2,0,1070.135002,1,65.0
259,0,0,2,0,2400.384061,1,50.0
260,0,0,3,0,1767.388826,1,77.5
261,1,1,1,0,524.0,0,26.2
262,1,1,2,0,923.7875289,1,120.0
263,0,0,3,0,1657.275439,1,100.0
264,0,0,2,0,680.0,1,170.0
265,0,0,2,0,1100.478469,1,23.0
266,0,1,3,0,1701.6949149999996,0,50.2
267,0,0,1,0,451.0309278,1,14.0
268,0,0,3,0,2727.856226000001,1,85.0
269,0,0,2,0,1000.0,1,30.0
270,0,0,3,0,1790.1897600000002,1,100.0
271,0,0,2,0,1100.352113,1,25.0
272,0,1,2,0,1232.162459,1,44.9
273,0,0,1,0,497.988891,1,26.0
274,0,0,3,0,1726.017442,1,95.0
275,1,1,3,0,1320.052802,1,110.0
276,0,0,2,0,990.0990099,1,25.0
277,0,0,1,0,675.0441375,1,65.0
278,0,0,2,0,674.0361283,1,25.0
279,0,0,1,0,775.1114886,1,36.5
280,0,0,2,0,718.1042049,1,180.0
281,1,1,4,0,3200.0,1,180.0
282,0,1,2,0,945.1795841,1,30.0
283,0,1,2,0,1089.028042,1,160.0
284,0,1,2,0,942.1518749,1,50.0
285,0,0,2,0,1370.0,1,82.2
286,0,0,2,0,1265.111049,1,90.0
287,0,0,3,0,1394.31121,1,100.0
288,1,0,2,0,800.0,1,27.0
289,1,1,3,0,1505.144771,1,62.9
290,0,0,3,0,1067.270375,1,33.0
291,0,0,3,0,1400.059577,1,94.0
292,0,0,1,0,728.9473684,1,27.7
293,0,1,3,0,1293.103448,0,37.5
294,1,1,3,0,106469.0027,0,9480.0
295,0,0,3,0,2939.624633,1,390.0
296,0,1,2,0,1431.068385,1,65.5
297,0,0,3,0,1350.063532,1,85.0
298,0,0,1,0,750.1630789,1,23.0
299,0,1,3,0,1170.074459,1,99.0
300,0,0,2,0,1121.076233,1,45.0
301,0,0,4,0,1904.761905,1,100.0
302,0,0,4,0,7054.132801999999,1,460.0
303,0,0,2,0,950.0285009,1,150.0
304,0,0,2,0,969.9321048,1,40.0
305,0,0,1,0,636.0078278,1,52.0
306,0,0,4,0,4578.507945,1,340.0
307,0,0,1,0,700.0259269,1,27.0
308,0,0,3,0,1859.637775,1,230.0
309,0,0,3,0,1700.1866059999998,1,82.0
310,0,0,3,0,1847.187238,0,110.0
311,0,1,1,0,509.5541401,0,40.0
312,0,0,3,0,1427.424391,1,160.0
313,0,0,2,0,715.0518413,1,20.0
314,0,0,3,0,1393.214227,1,85.0
315,0,0,2,0,900.3215434,1,22.4
316,0,0,2,0,1000.0,1,120.0
317,0,0,2,0,800.0,1,35.0
318,1,0,1,0,445.0304928000001,1,54.0
319,0,0,2,0,1125.175809,1,56.0
320,0,0,2,0,1015.113918,1,90.0
321,0,1,2,0,1200.4175369999996,1,23.0
322,0,1,1,0,1060.147122,1,49.0
323,0,0,3,0,1654.8463359999996,1,70.0
324,0,0,3,0,1175.121811,1,41.0
325,0,0,1,0,412.0213282,1,8.5
326,0,0,3,0,1877.435352,1,53.0
327,1,0,2,0,1150.121065,1,38.0
328,0,0,2,0,910.0529101,1,43.0
329,1,1,2,0,1080.0,0,32.4
330,0,1,3,0,1902.843071,1,170.0
331,0,0,1,0,850.4606662,1,12.0
332,1,1,2,0,1051.223242,1,110.0
333,0,1,2,0,945.0617925,1,91.0
334,1,0,2,0,570.0958797999998,1,22.0
335,0,0,2,0,1050.070432,1,82.0
336,0,1,2,0,1785.060417,1,390.0
337,0,0,2,0,800.0,1,35.0
338,0,0,2,0,750.0551511,1,34.0
339,0,0,2,0,1129.908619,1,91.5
340,1,1,4,0,2857.142857,0,120.0
341,0,0,2,0,896.6801117000001,1,28.9
342,0,0,2,0,900.116144,1,31.0
343,0,0,3,0,1870.32419,1,75.0
344,0,0,2,0,1288.102262,1,78.6
345,1,1,4,0,2461.538462,1,160.0
346,0,0,2,0,1066.408143,1,22.0
347,0,0,4,0,4299.996417,1,1200.0
348,1,1,2,0,816.8491699,0,370.0
349,0,0,2,0,1261.625556,1,31.2
350,0,0,2,0,1160.092807,1,45.0
351,1,1,2,0,828.7063893,1,100.0
352,0,1,3,0,2015.021066,1,110.0
353,0,0,3,0,2765.784114,1,67.9
354,0,0,2,0,790.0334245,1,26.0
355,0,0,3,0,1358.024691,0,110.0
356,0,0,1,0,850.1594049,1,24.0
357,0,0,2,0,1115.075825,1,100.0
358,0,0,1,0,406.3088686,1,110.0
359,0,0,2,0,1080.080235,1,70.0
360,0,1,4,0,3621.234302,1,470.0
361,1,1,6,0,10050.25126,1,1200.0
362,0,0,3,0,1150.0069,1,250.0
363,0,1,3,0,2489.4067800000007,1,94.0
364,1,0,3,0,1894.179894,1,53.7
365,0,0,4,0,4000.0,1,140.0
366,0,1,2,0,1269.146608,1,40.6
367,0,1,4,0,3458.3665869999995,1,260.0
368,0,1,2,0,835.2668213,0,25.2
369,0,0,2,0,1185.146168,1,90.0
370,0,0,3,0,1289.872756,1,74.0
371,0,0,3,0,2100.0,1,210.0
372,0,0,4,0,3167.898627,1,150.0
373,0,0,4,0,433333.3333,1,65.0
374,0,0,2,0,845.007783,1,38.0
375,0,0,1,0,850.0,1,27.2
376,1,1,2,0,923.0100988,1,85.0
377,0,0,3,0,1490.312966,1,60.0
378,0,0,3,0,1480.019734,1,60.0
379,0,0,3,0,1510.159253,1,110.0
380,1,1,1,0,453.01667930000013,1,66.0
381,0,0,2,0,999.6079969,0,25.5
382,0,0,2,0,1000.0,1,30.0
383,0,0,3,0,1350.135014,1,60.0
384,0,0,3,0,1231.578947,1,46.8
385,1,1,2,0,829.8850575,0,36.1
386,0,0,2,0,1069.7827519999996,1,32.5
387,0,0,1,0,610.0273241,1,96.0
388,0,0,4,0,2030.205496,1,82.0
389,0,0,2,0,978.7377658,1,29.0
390,1,1,3,0,1503.225806,1,46.6
391,1,1,2,0,804.8649615,1,45.0
392,0,0,3,0,1400.0518539999996,1,54.0
393,0,1,2,0,1251.091068,1,43.0
394,0,0,3,0,1850.424056,1,48.0
395,0,0,2,0,711.0877008,1,27.0
396,0,0,1,0,540.0540053999998,1,24.0
397,0,0,2,0,748.0,1,18.7
398,0,0,2,0,1166.039111,1,96.0
399,0,0,2,0,943.057302,1,210.0
400,0,0,3,0,1700.071582,1,190.0
401,0,0,4,0,2175.202689,1,110.0
402,1,0,3,0,2181.818182,1,240.0
403,0,0,3,0,1700.071582,1,95.0
404,0,0,2,0,1080.246914,1,35.0
405,0,0,3,0,1276.127613,1,58.0
406,0,1,3,0,2735.016019,1,350.0
407,0,1,2,0,988.0395216,1,190.0
408,0,0,3,0,935.0788138,1,35.0
409,0,0,1,0,550.0207555,1,53.0
410,1,1,2,0,1094.8905109999996,1,51.0
411,0,0,5,0,6397.725253000001,1,360.0
412,0,1,2,0,1150.01465,1,78.5
413,0,0,2,0,936.1348034,1,45.0
414,0,1,2,0,1150.030066,1,76.5
415,1,1,4,0,3810.431055,1,320.0
416,1,0,2,0,1173.020528,1,84.0
417,0,0,4,0,2541.699762,0,160.0
418,0,0,2,0,950.1648245,1,49.0
419,0,0,2,0,1045.12276,1,63.0
420,0,0,3,0,1969.667126,1,100.0
421,0,0,2,0,930.0661778,1,52.0
422,0,0,2,0,1071.080818,1,55.0
423,1,1,3,0,1400.208986,1,67.0
424,0,0,2,0,1176.470588,0,200.0
425,0,0,4,0,1925.925926,1,130.0
426,0,0,2,0,1053.001053,1,30.0
427,0,0,2,0,1051.1562720000004,1,45.0
428,1,1,2,0,988.5365491,1,66.4
429,0,0,2,0,1300.034211,1,38.0
430,1,1,2,0,850.0028332999998,1,150.0
431,0,0,2,0,948.6166008,1,31.2
432,0,0,3,0,1760.1987989999998,1,85.0
433,0,0,2,0,850.1259446,1,27.0
434,0,1,1,0,654.9646319,1,50.0
435,0,0,2,0,1050.019091,1,110.0
436,0,0,3,0,1267.05653,1,65.0
437,0,0,3,0,1150.086256,1,40.0
438,1,1,3,0,844.8442017000001,1,26.3
439,0,1,2,0,1075.268817,1,100.0
440,0,0,2,0,1016.191315,1,150.0
441,1,1,3,0,900.3760394,0,170.0
442,0,1,3,0,2058.1113800000007,1,170.0
443,1,1,4,0,6000.0,1,750.0
444,0,0,2,0,950.1187648,1,36.0
445,0,0,3,0,2015.983872,1,280.0
446,0,0,2,0,749.4004796,1,12.5
447,0,1,4,0,3045.878546,1,160.0
448,0,1,2,0,1303.707063,1,230.0
449,0,1,2,0,936.0223873,1,97.0
450,0,0,2,0,1100.3757380000004,1,20.5
451,0,0,2,0,704.0070843,1,31.8
452,0,0,3,0,2000.0,1,130.0
453,1,1,3,0,1678.6570739999993,1,63.0
454,0,1,1,0,411.1662322,0,48.9
455,0,1,2,0,950.0285009,1,50.0
456,0,0,5,0,4787.552364,1,480.0
457,0,0,1,0,630.2521008,1,13.5
458,0,0,3,0,1823.154057,1,160.0
459,0,0,3,0,2250.692521,1,65.0
460,0,0,3,0,1399.941055,1,190.0
461,0,0,3,0,1635.055592,1,100.0
462,0,1,3,0,1896.878772,1,110.0
463,0,1,3,0,1600.0,1,250.0
464,0,0,3,0,1447.054818,1,85.0
465,0,0,3,0,1640.112465,1,70.0
466,1,1,2,0,1110.053917,1,70.0
467,0,1,4,0,3333.333333,1,250.0
468,0,1,3,0,2708.070049,1,300.0
469,0,1,1,0,410.0461302,1,16.0
470,0,0,3,0,1512.401694,1,100.0
471,0,0,2,0,912.0620202,1,120.0
472,0,0,2,0,795.097423,1,25.3
473,1,1,1,0,443.5607219,0,29.0
474,0,0,3,0,1350.121359,1,44.5
475,0,0,4,0,4000.0,1,400.0
476,0,0,3,0,4769.230769,1,310.0
477,0,0,3,0,1897.278651,1,99.0
478,0,0,1,0,705.0092764,1,57.0
479,1,1,3,0,1510.989011,1,110.0
480,0,0,2,0,643.8113632999998,1,120.0
481,1,0,2,0,1100.208147,1,37.0
482,0,0,1,0,650.0691562999998,1,47.0
483,1,1,1,0,502.6315789,0,19.1
484,1,0,2,0,999.6895374,1,64.4
485,1,1,1,0,628.9308176,0,37.0
486,0,0,3,0,1050.2283109999996,1,23.0
487,0,0,2,0,1225.186104,1,79.0
488,0,0,3,0,1473.005999,1,66.3
489,0,0,2,0,1250.0,1,24.0
490,0,0,3,0,1614.797416,1,55.0
491,0,0,1,0,533.0243337,1,23.0
492,0,0,4,0,2754.820937,1,470.0
493,0,0,2,0,772.4137931,1,22.4
494,0,0,2,0,900.116144,1,31.0
495,0,0,1,0,674.9662517,1,45.0
496,0,0,3,0,1773.0496449999996,1,120.0
497,0,0,3,0,1200.0,1,45.0
498,0,1,3,0,2015.503876,1,78.0
499,0,0,2,0,1075.05864,1,55.0
500,1,0,3,0,1190.322581,1,36.9
501,0,0,3,0,1220.886551,1,65.0
502,0,0,2,0,1199.944189,1,86.0
503,0,0,3,0,1700.1545600000004,1,110.0
504,0,0,2,0,875.1608752000002,1,34.0
505,0,0,3,0,1518.151815,1,92.0
506,0,0,1,0,739.9817851,1,65.0
507,1,1,1,0,389.5585889,0,87.9
508,0,0,2,0,1350.154936,1,61.0
509,1,1,3,0,1679.966401,1,120.0
510,0,0,5,0,5873.586394,1,670.0
511,0,1,2,0,1044.045677,1,160.0
512,1,0,3,0,1350.024546,1,55.0
513,0,0,3,0,1954.686806,1,88.0
514,0,0,2,0,1500.0,1,48.0
515,0,0,2,0,1192.307692,1,62.0
516,0,0,3,0,1000.0,1,40.0
517,0,1,3,0,1556.247221,0,35.0
518,1,1,2,0,514.9738552,0,130.0
519,0,1,2,0,1072.194425,1,30.0
520,0,1,3,0,1626.898048,1,180.0
521,0,0,2,0,700.1647446000002,1,17.0
522,0,0,3,0,1336.184773,1,78.1
523,0,0,1,0,535.0028458,1,47.0
524,0,1,2,0,882.0536017000002,1,78.0
525,0,1,2,0,650.0397984,1,49.0
526,1,1,3,0,1370.07874,1,87.0
527,0,0,3,0,1930.235765,1,140.0
528,1,0,2,0,730.8254481,0,190.0
529,1,1,3,0,1000.0,1,94.0
530,0,0,2,0,650.0956022999999,1,17.0
531,0,0,3,0,2258.512856,1,130.0
532,0,0,3,0,2026.929202,1,140.0
533,1,0,1,0,414.7619048,1,87.1
534,0,0,3,0,1495.35923,1,43.5
535,0,0,2,0,800.0,1,13.0
536,0,0,3,0,1821.125051,1,90.0
537,0,0,2,0,940.8075265,1,120.0
538,0,0,2,0,1250.0,1,52.0
539,1,0,2,0,1209.816799,1,35.0
540,0,0,1,0,550.017188,1,32.0
541,0,0,2,0,1150.0,1,23.0
542,0,0,2,0,1225.201072,1,45.7
543,1,0,1,0,408.997955,1,70.0
544,0,0,3,0,2685.861624,1,500.0
545,1,1,1,0,498.8873735,1,69.5
546,0,0,1,0,666.0088800999998,1,13.5
547,0,0,2,0,1110.045224,1,81.0
548,0,0,1,0,950.3239741,1,22.0
549,0,0,2,0,1349.325337,1,45.0
550,1,1,2,0,530.2378905,0,55.5
551,0,0,2,0,1200.274348,1,35.0
552,1,1,3,0,1599.680064,1,240.0
553,0,0,2,0,1163.636364,1,160.0
554,1,1,3,0,113785.558,0,7280.0
555,0,0,3,0,2241.010492000001,1,220.0
556,0,1,2,0,942.0022165,1,51.0
557,1,1,1,0,301.9171163000001,0,26.3
558,0,0,2,0,900.090009,1,40.0
559,0,0,4,0,2674.956622,0,92.5
560,0,0,2,0,852.9776675,1,110.0
561,0,0,3,0,2106.897316,1,190.0
562,1,1,4,0,3495.947879,1,220.0
563,0,0,2,0,1600.134748,1,95.0
564,0,0,3,0,1326.963907,1,75.0
565,0,1,3,0,1505.011565,1,97.6
566,0,1,2,0,1296.111665,1,78.0
567,0,0,4,0,3501.3616409999995,1,630.0
568,0,0,2,0,1400.147384,1,76.0
569,0,0,1,0,661.9632436,1,76.0
570,0,0,3,0,2070.0207,1,690.0
571,0,0,1,0,284.0012622,1,9.0
572,0,0,2,0,1299.89295,1,85.0
573,0,1,3,0,1300.131062,1,49.6
574,0,0,2,0,1165.13904,1,75.0
575,0,1,2,0,1135.241856,1,46.0
576,0,0,3,0,1645.141451,1,53.5
577,0,0,4,0,2141.46658,1,66.0
578,1,1,3,0,1777.975331,0,160.0
579,0,1,2,0,947.6389335,1,29.5
580,0,0,3,0,1100.196464,1,28.0
581,0,0,2,0,1273.8284130000004,1,570.0
582,0,0,2,0,797.0849465,1,35.0
583,0,0,2,0,823.0452675,1,34.0
584,0,0,2,0,630.1502666,1,13.0
585,0,0,3,0,1300.284437,1,32.0
586,0,0,3,0,1785.469029,1,130.0
587,0,0,3,0,1995.609659,1,100.0
588,0,0,4,0,3750.161645,1,290.0
589,0,0,3,0,1724.1379309999998,1,34.0
590,0,0,3,0,1699.346405,1,26.0
591,0,0,2,0,1270.417423,1,35.0
592,0,1,1,0,675.0392465,1,43.0
593,0,1,3,0,1625.282167,1,72.0
594,0,0,3,0,1655.878368,1,110.0
595,0,0,3,0,1650.252861,1,62.0
596,0,0,1,0,650.1011268,1,22.5
597,0,0,4,0,1750.051472,1,85.0
598,1,0,3,0,1400.0,1,51.8
599,0,1,3,0,1877.410189,1,370.0
600,0,1,2,0,1150.190114,1,48.4
601,1,1,3,0,1767.3521850000004,1,110.0
602,0,1,2,0,800.1361933999998,1,23.5
603,0,0,3,0,1250.0,1,45.0
604,0,0,1,0,609.0764331,1,15.3
605,0,0,2,0,2000.0,1,60.0
606,0,0,3,0,1250.0,1,45.0
607,0,0,2,0,954.7934528,1,24.5
608,1,1,1,0,453.0011325,0,64.0
609,0,0,2,0,550.0442,1,56.0
610,0,0,3,0,2051.158301,1,85.0
611,0,1,3,0,2501.924557,1,130.0
612,0,0,2,0,1159.243441,1,38.0
613,0,0,2,0,940.2914904,1,20.0
614,0,1,3,0,1750.087504,1,200.0
615,0,0,3,0,1474.993653,1,58.1
616,0,0,2,0,800.0,1,25.0
617,0,1,3,0,1678.947368,1,63.8
618,1,1,4,0,2171.612103,1,1190.0
619,0,0,1,0,675.024108,1,42.0
620,0,0,2,0,1302.241066,1,43.0
621,0,0,2,0,1166.180758,1,60.0
622,0,0,2,0,549.7771174,1,18.5
623,0,0,3,0,1399.825022,1,48.0
624,0,1,2,0,1176.683563,1,130.0
625,0,0,3,0,1282.568807,1,69.9
